source_id,code,meaning,value_format,notes
fhi-befolkning,GEO,Region (mixed kommune / fylke / bydel / nasjon),1- to 6-character numeric code,"~409 codes — 0 (national), 2-digit fylke, 4-digit kommune, 6-digit bydel"
fhi-befolkning,AAR,Year,"""YYYY_YYYY"" range string (single-year)","36 single-year periods, 1990–2025"
fhi-befolkning,KJONN,Sex,3 codes,"""0"" both, ""1"" men, ""2"" women"
fhi-befolkning,ALDER,Age band,"""min_max"" range string","35 bands. Includes overlapping aggregates (0_120 = everyone) and disjoint slices (0_4, 5_14, 0_17, etc.); pick a single non-overlapping partition downstream."
fhi-befolkning,MEASURE_TYPE,Which number,3 codes upstream; Atlas filters to 1,TELLER (count) only — RATE / SMR are derivable downstream from these counts.
fhi-befolkningsvekst,GEO,Region (mixed kommune / fylke / bydel / nasjon),1- to 6-character numeric code,~409 codes
fhi-befolkningsvekst,AAR,Year,"""YYYY_YYYY"" range string (single-year)","23 single-year periods, 2002–2024"
fhi-befolkningsvekst,KJONN,Sex,1 code (degenerate),"Always ""0"" (both) — table is whole-population only"
fhi-befolkningsvekst,ALDER,Age band,1 code (degenerate),"Always ""0_120"" (everyone) — table is whole-population only"
fhi-befolkningsvekst,MEASURE_TYPE,Which number,2 codes,"TELLER (absolute change in resident count vs prior year), RATE (percent growth). Verify exact FHI semantics before labelling as a headline indicator."
fhi-bor-alene,GEO,Region (mixed kommune / fylke / bydel / nasjon),1- to 6-character numeric code,"0 (national), 03 (Oslo fylke), 0301 (Oslo kommune), 030101 (bydel)"
fhi-bor-alene,AAR,Year or period,"""YYYY_YYYY"" range string","2025_2025 for single-year, 2023_2025 for 3-year averages"
fhi-bor-alene,ALDER,Age band,"""min_max"" range string","16_120 (all adults 16+), 16_29, 65_74, 75_84, 85_120"
fhi-bor-alene,MEASURE_TYPE,Which number,3 codes,"RATE (percent), SMR (standardised ratio vs national), TELLER (absolute count)"
fhi-depresjon,GEO,Region (mixed kommune / fylke / bydel / nasjon),1- to 6-character numeric code,~409 codes
fhi-depresjon,AAR,Year,"""YYYY_YYYY"" range string (single-year)",14 single-year periods upstream (2012–2025); Atlas pulls latest 4 to fit cell budget
fhi-depresjon,KJONN,Sex,3 codes,"""0"" both, ""1"" men, ""2"" women — girls report markedly higher rates of depressive symptoms"
fhi-depresjon,ALDER,Age band (Ungdata cohort grouping),1 code (degenerate),"Always ""1_6"" — Ungdata survey-cohort identifier (same as fhi-livskvalitet). Verify against Ungdata methodology."
fhi-depresjon,DEPRESJON,Depression-symptom response,1 code (degenerate),"Always ""Ja"" — yes-respondents only. The value is the share reaching the symptomatic threshold."
fhi-depresjon,SOES,Socioeconomic status,4 codes,"""0"" combined + ""1""/""2""/""3"" specific levels (typically low/middle/high family SES). Verify against Ungdata methodology."
fhi-depresjon,MEASURE_TYPE,Which number,2 codes,"SMR (standardised ratio vs national), MEIS (FHI mean / smoothed indicator). No TELLER / RATE — Ungdata is sample-based."
fhi-innvandrere,GEO,Region (mixed kommune / fylke / bydel / nasjon),1- to 6-character numeric code,~409 codes
fhi-innvandrere,AAR,Year,"""YYYY_YYYY"" range string (single-year)","23 single-year periods, 2003–2025"
fhi-innvandrere,ALDER,Age band,"""min_max"" range string","10 bands. Includes 0_120 (everyone) plus disjoint slices 0_17, 18_29, 30_44, 45_64, 45_120, etc."
fhi-innvandrere,LANDBAK,Country background grouping,8 codes,"Codes spanning Norway-born and immigrant origin regions (Europe / Asia / Africa / Oceania / etc.) plus aggregates. Codes are not human-readable on their own — verify against FHI's dimension reference. Common: 100 ≈ no immigrant background, 456 = aggregate group."
fhi-innvandrere,MEASURE_TYPE,Which number,3 codes upstream; Atlas filters to 1,TELLER (count) only — RATE / SMR are derivable downstream from these counts.
fhi-innvkat,GEO,Region (mixed kommune / fylke / bydel / nasjon),1- to 6-character numeric code,~409 codes
fhi-innvkat,AAR,Year,"""YYYY_YYYY"" range string (single-year)","23 single-year periods, 2003–2025"
fhi-innvkat,ALDER,Age band,"""min_max"" range string","10 bands. Includes 0_120 (everyone) plus disjoint slices 0_29, 30_44, 45_64, 65_79, 80_120, etc."
fhi-innvkat,INNVKAT,Immigrant category,3 codes,"""2"" innvandrere (1st-gen), ""3"" norskfødte med innvandrerforeldre (2nd-gen), ""23"" combined (sum of 2 + 3 — exclude from disjoint-category sums)"
fhi-innvkat,LANDBAK,Country background grouping,1 code,"Always ""0"" for this table — origin region is collapsed. Use fhi-innvandrere (table 175) for origin-region resolution."
fhi-innvkat,MEASURE_TYPE,Which number,3 codes,"TELLER (count), RATE (percent), SMR (standardised ratio vs national)"
fhi-kpr-1aar,GEO,Region (national / fylke / kommune — no bydel resolution),1- to 4-character numeric code,~373 codes — narrower than other FHI tables which include bydeler
fhi-kpr-1aar,AAR,Year,"""YYYY_YYYY"" range string (single-year despite the range form)",8 single-year periods upstream (2017–2024); Atlas pulls latest 1
fhi-kpr-1aar,KJONN,Sex,3 codes upstream; Atlas filters to 1,"""0"" combined (only value Atlas ingests). Sex-stratified analysis would need a sibling source."
fhi-kpr-1aar,ALDER,Age band,"""min_max"" range string","10 bands incl. 0_74 aggregate, 15_24, 25_44, 45_74 disjoint slices"
fhi-kpr-1aar,KODEGRUPPE,ICPC-2 code-group identifier (primary-care diagnoses / symptoms),11 code-range strings,"P01_P29 (psych symptoms), P70_P99 (psych diagnoses), P01_P29ogP70_P99 (combined chapter P — exclude from disjoint sums), K70_K99 (cardiovascular), L01_L29 / L70_L99 (musculoskeletal), Skader (injuries), plus specific symptom clusters."
fhi-kpr-1aar,MEASURE_TYPE,Which number,4 codes upstream; Atlas filters to 1,RATE (per-1000 contact rate — only value Atlas ingests). TELLER / SMR / MEIS available upstream.
fhi-livskvalitet,GEO,Region (mixed kommune / fylke / bydel / nasjon),1- to 6-character numeric code,~409 codes
fhi-livskvalitet,AAR,Year,"""YYYY_YYYY"" range string (single-year)","5 single-year periods, 2021–2025"
fhi-livskvalitet,KJONN,Sex,3 codes,"""0"" both, ""1"" men, ""2"" women"
fhi-livskvalitet,ALDER,Age band (Ungdata cohort grouping),1 code (degenerate),"Always ""1_6"" — likely an Ungdata survey-cohort identifier rather than literal ages 1-6. Verify against Ungdata methodology."
fhi-livskvalitet,LIVSKVALITET,Quality-of-life score band,1 code (degenerate),"Always ""8_10"" — share of respondents reporting high quality of life (8–10 on a 0–10 self-report scale)."
fhi-livskvalitet,SOES,Socioeconomic status,1 code (degenerate),"Always ""0"" — combined socioeconomic statuses (no breakdown in this slice)."
fhi-livskvalitet,MEASURE_TYPE,Which number,2 codes,"SMR (standardised ratio vs national), MEIS (FHI mean / smoothed indicator). No TELLER / RATE — Ungdata is sample-based, not an enumeration."
fhi-mobbing,GEO,Region (mixed kommune / fylke / bydel / nasjon),1- to 6-character numeric code,~409 codes
fhi-mobbing,AAR,3-year rolling period,"""YYYY_YYYY"" range string","7 periods, e.g. 2016_2018 through 2022_2024"
fhi-mobbing,KJONN,Sex,1 code,"""0"" (both sexes only — table is sex-aggregated)"
fhi-mobbing,TRINN,School grade,2 codes,"""7"" (7th grade), ""10"" (10th grade)"
fhi-mobbing,SPM_ID,Question id (bullying composite),1 code,Single composite question only
fhi-mobbing,MEASURE_TYPE,Which number,3 codes,"SMR (standardised ratio), MEIS (?), RATE (percent)"
fhi-neet,GEO,Region (mixed kommune / fylke / bydel / nasjon),1- to 6-character numeric code,~409 codes
fhi-neet,AAR,Year,"""YYYY_YYYY"" range string (single-year)","17 single-year periods, 2008–2024"
fhi-neet,KJONN,Sex,3 codes upstream; Atlas filters to 1,"""0"" both (Atlas only ingests this), ""1"" men, ""2"" women — re-ingest if a sex-stratified slice is needed"
fhi-neet,ALDER,Age band,"""min_max"" range string","14 bands — includes the canonical NEET span 15_29 and finer slices 15_19, 20_24, 25_29; pick a single non-overlapping partition downstream"
fhi-neet,UTDANN,Parents' education level (NOT the youth's own),5 codes,"0 (all), 1 (grunnskole), 2 (videregående), 3 (høgskole/uni kort), 4 (høgskole/uni lang). Reflects socioeconomic context — children of higher-educated parents have markedly lower NEET rates."
fhi-neet,MEASURE_TYPE,Which number,4 codes upstream; Atlas filters to 1,"RATE (percent — Atlas keeps only this), TELLER, MEIS, SMR are derivable downstream"
fhi-prognose,GEO,Region (mixed kommune / fylke / bydel / nasjon),1- to 6-character numeric code,~409 codes
fhi-prognose,AAR,Base year of the projection (anchor year),"""YYYY_YYYY"" range string",The year the forecast is anchored on — *not* the year being projected. PROGNOSEAAR is the target.
fhi-prognose,KJONN,Sex,3 codes upstream; Atlas filters to 1,"""0"" both (Atlas only ingests this) — re-ingest for sex-stratified slice"
fhi-prognose,ALDER,Age band,"""min_max"" range string","31 codes — includes the universal 0_120, 5-year disjoint slices (0_4, 5_9, …, 100_120), and aggregates (0_17, 45_64, 80_120). Pick a single non-overlapping partition downstream."
