source_id,upstream_id,upstream_url,upstream_title,description,publisher,license,license_url,periodicity,eu_theme,attribution,upstream_landing_page,tags
fhi-befolkning,338,https://statistikk-data.fhi.no/api/open/v1/nokkel/table/338,Befolkningssammensetning_antall_andel,"FHI Folkehelsestatistikk table 338 — Befolkningssammensetning. Population counts by region × sex × age band, used as the demographic denominator across other indicators (per-capita rates, age structure).",Folkehelseinstituttet,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,SOCI,"Kilde: Folkehelseinstituttet, Folkehelsestatistikk tabell 338",https://statistikk.fhi.no/nokkel/iIALHYpjwwxCYECV9iAnanUAYXxFBhFZdQW1M7T5EeA,"provider:fhi,topic:demographics,geo:kommune,cadence:annual"
fhi-bor-alene,187,https://statistikk-data.fhi.no/api/open/v1/nokkel/table/187,Personer som bor alene,"FHI Folkehelsestatistikk table 187 — ""Personer som bor alene"". Share of adults (16+) living alone, per region, annual.",Folkehelseinstituttet,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,SOCI,"Kilde: Folkehelseinstituttet, Folkehelsestatistikk — tabell 187",https://statistikk.fhi.no/nokkel/E1gPZ5le1oMsIccxUCPlzvSxxb-8u3gtb7h1tg_zGwg,"provider:fhi,topic:demographics,geo:kommune,cadence:annual"
fhi-innvandrere,175,https://statistikk-data.fhi.no/api/open/v1/nokkel/table/175,Innvandrere og norskfødte med innv.foreldre _LANDBAK,FHI Folkehelsestatistikk table 175 — population with immigrant background (1st-gen immigrants + Norwegian-born with two immigrant parents) by region × age × country background.,Folkehelseinstituttet,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,SOCI,"Kilde: Folkehelseinstituttet, Folkehelsestatistikk tabell 175",https://statistikk.fhi.no/nokkel/ZQAEuMN7Ar2Mmi30zcPD232XzenC3NS5IJyQ1nUeySQ,"provider:fhi,topic:demographics,geo:kommune,cadence:annual"
fhi-mobbing,377,https://statistikk-data.fhi.no/api/open/v1/nokkel/table/377,"Mobbing, 7. og 10. klasse, 3-årige tall","FHI Folkehelsestatistikk table 377 — Mobbing, 7. og 10. klasse, 3-årige tall. Share of pupils reporting bullying in 7th and 10th grade, 3-year rolling averages per region.",Folkehelseinstituttet,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,EDUC,"Kilde: Folkehelseinstituttet, Folkehelsestatistikk tabell 377",,"provider:fhi,topic:education,geo:kommune,cadence:annual"
fhi-neet,809,https://statistikk-data.fhi.no/api/open/v1/nokkel/table/809,NEET_UTDANN,"FHI Folkehelsestatistikk table 809 — NEET (Not in Education, Employment, or Training) share among young people, broken down by age band × parents' education level.",Folkehelseinstituttet,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,EDUC,"Kilde: Folkehelseinstituttet, Folkehelsestatistikk tabell 809",https://statistikk.fhi.no/nokkel/sGprm5F-rJQcpEqkZhAfGis_ImrcQCCkOBfyOWGUQnE,"provider:fhi,topic:education,geo:kommune,cadence:annual"
fhi-trangbodd,794,https://statistikk-data.fhi.no/api/open/v1/nokkel/table/794,Trangbodd_UTDANN,FHI Folkehelsestatistikk table 794 — Trangbodd_UTDANN. Share of population living in overcrowded housing by region × age × education × housing-status × measure.,Folkehelseinstituttet,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,EDUC,"Kilde: Folkehelseinstituttet, Folkehelsestatistikk tabell 794 (Trangbodd)",,"provider:fhi,topic:education,geo:kommune,cadence:annual"
fhi-vgs-gjennomforing,360,https://statistikk-data.fhi.no/api/open/v1/nokkel/table/360,Gjennomforing i videregående skole (utdann_3),FHI Folkehelsestatistikk table 360 — Gjennomforing i videregående skole (utdann_3). Upper-secondary completion rate per region × sex × parents' education × immigration category.,Folkehelseinstituttet,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,EDUC,"Kilde: Folkehelseinstituttet, Folkehelsestatistikk tabell 360",,"provider:fhi,topic:education,geo:kommune,cadence:annual"
frr,frr,https://www.rodekors.no/,Frivillig Resource Register (FRR) — Norges Røde Kors internal volunteer register,"Norges Røde Kors's internal Frivillig Resource Register (FRR) — operational data on volunteer resources, status, and positions. Private; never exposed via the public API.",Norges Røde Kors (private FRR register),internal,internal,irregular,SOCI,"Norges Røde Kors, Frivillig Resource Register (FRR) — internal data",https://www.rodekors.no/,"provider:redcross,topic:ngo-supply,geo:national,cadence:irregular"
redcross-branches,organizations-api,https://api.redcross.no/nrx/v1/organizations,Norges Røde Kors Organizations API — branches + per-branch activities,First NGO-supply ingest. Reads Norges Røde Kors's Organizations API data and writes it to two raw.* tables — chapters and per-chapter activities.,Norges Røde Kors,permissive,https://www.rodekors.no/personvern/,irregular,SOCI,"Norges Røde Kors, Organizations API",https://www.rodekors.no/lokalforeninger/,"provider:redcross,topic:ngo-supply,geo:kommune,cadence:irregular"
ssb-06083,06083,https://www.ssb.no/statbank/table/06083,"06083: Familier, etter familietype (K) (B) 2005-2025","SSB statistikkbanktabell 06083 — Familier, etter familietype. Family counts by type per region and year.",Statistisk sentralbyrå,NLOD,https://data.norge.no/nlod/no/2.0,P1Y,SOCI,"Kilde: Statistisk sentralbyrå, tabell 06083",https://www.ssb.no/statbank/table/06083,"provider:ssb,topic:demographics,geo:kommune,cadence:annual"
