relation_name,mart_name,derives_from_fact
activity_catalog,mart_activity_catalog,false
atlas_inventory,mart_atlas_inventory,true
brreg_enhet,mart_brreg_enhet,false
bufdir_indicator_alias,mart_bufdir_indicator_alias,false
coverage_gap_barnefattigdom,mart_coverage_gap_barnefattigdom,true
dim_kommune,mart_dim_kommune,false
distrikt_summary,mart_distrikt_summary,false
indicator_latest_values,mart_indicator_latest_values,true
indicator_missing_kommuner,mart_indicator_missing_kommuner,true
indicator_summary,mart_indicator_summary,true
ingest_health,mart_ingest_health,false
kommune_befolkning_alder,mart_kommune_befolkning_alder,false
kommune_local_chapters,mart_kommune_local_chapters,false
kommune_ngo_summary,mart_kommune_ngo_summary,false
kommune_ngo_totals,mart_kommune_ngo_totals,false
meta_dimensions,mart_meta_dimensions,false
meta_endpoints,mart_meta_endpoints,true
meta_sources,mart_meta_sources,true
ngo_index,mart_ngo_index,false
ngo_overview,mart_ngo_overview,false
source_freshness,mart_source_freshness,false
unattributed_totals,mart_unattributed_totals,true
